Frequency(GHz),Reflection Coeffecient,Magnitude of the Reflection
0.6764119933,0.003547278649,800,
0.622354241,0.003764406467,810,
0.6095551665,-0.01928275702,820,
5.632009796,24.31236473,830,
270985.6421,-50401.63797,840,
-3.85E+12,-3.79E+12,850,
-1.02E+17,6.00E+15,860,
-3.52E+24,2.07E+23,870,
0.676417766,0.003076054524,890,
0.6223590778,0.003298830655,900,
0.6105396385,0.002721545188,910,
7.674541948,-34.2961814,920,
-773220.7007,39728.59356,930,
8.58E+13,-2.96E+13,940,
8.78E+17,-3.73E+16,950,
5.20E+25,-2.21E+24,960,
5.13E+25,8.03E+25,970,
-1.79E+26,-2.80E+26,980,
2.10E+24,3.28E+24,990,
-1.51E+28,-2.36E+28,1000,
-6.88E+35,-1.08E+36,1010,
0.676423909,0.002486030893,1030,
0.6223764748,0.002689362789,1040,
0.616446875,0.03297763443,1050,
-113.1645014,-13.52337822,1060,
2173310.81,2496747.459,1070,
-9.54E+13,-1.46E+14,1080,
-1.35E+18,-1.77E+16,1090,
-3.24E+25,-4.23E+23,1100,
0.6764266914,0.002172375111,1120,
0.6223563869,0.002371845485,1130,
0.5935033292,0.002467859846,1140,
8.05976701,-1.086859812,1150,
-6924.649612,2388.901208,1160,
-2.12E+10,2.21E+10,1170,
-1.08E+18,2.05E+18,1180,
1.13E+13,-2.15E+13,1190,
-1.03E+23,1.96E+23,1200,
-6.83E+18,1.31E+19,1210,
1.54E+27,-2.94E+27,1220,
1.63E+26,-3.10E+26,1230,
-1.61E+28,3.07E+28,1240,
-7.86E+31,1.50E+32,1250,
-3.72E+30,7.11E+30,1260,
1.66E+33,-3.17E+33,1270,
1.65E+38,-3.14E+38,1280,
1.65E+38,-3.14E+38,1290,
2.51E+42,-4.79E+42,1300,
2.31E+42,-4.41E+42,1310,
1.27E+43,-2.43E+43,1320,
-2.60E+40,4.97E+40,1330,
6.21E+45,-1.19E+46,1340,
7.57E+50,-1.45E+51,1350,
7.57E+50,-1.45E+51,1360,
2.52E+55,-4.82E+55,1370,
0.6764319465,0.001428943222,1390,
0.6223906724,0.001618147626,1400,
0.6287578486,0.009900361756,1410,
45.22662977,-38.36104852,1420,
-2117347.833,3060891.887,1430,
1.02E+15,1.38E+15,1440,
-3.19E+19,-6.64E+19,1450,
-1.24E+26,-2.59E+26,1460,
0.6764330628,0.001226918792,1480,
0.6223822426,0.001426056909,1490,
0.597142598,-0.01485848328,1500,
21.43642671,0.1435446789,1510,
-23655.13145,-179417.5944,1520,
4.44E+12,3.51E+12,1530,
-1.32E+18,9.26E+16,1540,
3.13E+23,-2.19E+22,1550,
0.676433978,0.001041297662,1570,
0.6223848881,0.001239859388,1580,
0.6071488625,-5.44E-05,1590,
0.7493606811,0.665819138,1600,
812.5677678,441.3717569,1610,
-1.14E+09,-1.37E+08,1620,
-1.21E+18,-3.63E+17,1630,
-6.09E+11,-1.83E+11,1640,
2.41E+24,7.22E+23,1650,
3.97E+17,1.19E+17,1660,
-1.46E+31,-4.38E+30,1670,
-7.95E+26,-2.38E+26,1680,
2.68E+35,8.04E+34,1690,
0.6764350893,7.79E-04,1710,
0.6223852651,9.79E-04,1720,
0.6073174693,-0.001747463241,1730,
-0.5248920273,0.6652631381,1740,
-5930.449812,18.35696694,1750,
1.59E+11,-7.55E+10,1760,
-8.45E+17,-3.18E+17,1770,
4.37E+16,1.64E+16,1780,
-1.55E+19,-5.81E+18,1790,
-9.70E+23,-3.64E+23,1800,
0.6764357646,5.91E-04,1820,
0.6224009117,7.96E-04,1830,
0.6031767524,0.0227892398,1840,
2.55209297,-14.504906,1850,
94384.29853,-34898.51552,1860,
-3.03E+12,6.11E+12,1870,
-1.79E+16,-2.47E+16,1880,
-1.50E+23,-2.07E+23,1890,
-2.54E+25,1.87E+24,1900,
2.89E+25,-2.13E+24,1910,
-1.78E+25,1.31E+24,1920,
-3.21E+25,2.37E+24,1930,
4.00E+24,-2.95E+23,1940,
-2.24E+26,1.65E+25,1950,
-3.49E+29,2.57E+28,1960,
-4.26E+26,3.14E+25,1970,
2.86E+32,-2.10E+31,1980,
-1.46E+36,1.08E+35,1990,
9.21E+34,-6.78E+33,2000,
-2.31E+37,1.70E+36,2010,
-7.24E+41,5.33E+40,2020,
-7.21E+41,5.30E+40,2030,
-6.85E+43,5.04E+42,2040,
1.67E+36,-1.23E+35,2050,
-2.81E+51,2.07E+50,2060,
-8.87E+49,6.53E+48,2070,
8.91E+52,-6.56E+51,2080,
4.49E+58,-3.31E+57,2090,
0.6764369487,1.54E-04,2110,
0.6223895534,3.66E-04,2120,
0.6071715522,-0.004947850418,2130,
0.2741609466,-1.634387549,2140,
-5468.885469,-26570.56977,2150,
2.72E+11,-2.12E+12,2160,
2.25E+16,-6.06E+16,2170,
4.09E+23,-1.10E+24,2180,
0.6764371918,3.10E-05,2200,
0.6223872947,2.42E-04,2210,
0.6094853067,1.81E-04,2220,
6.748337608,5.923542215,2230,
48308.9782,40982.03326,2240,
-7.90E+10,1.97E+11,2250,
5.37E+18,-1.39E+18,2260,
-8.30E+13,2.15E+13,2270,
3.47E+23,-8.98E+22,2280,
2.06E+20,-5.33E+19,2290,
-5.86E+26,1.52E+26,2300,
1.63E+29,-4.22E+28,2310,
-2.10E+23,5.43E+22,2320,
1.27E+35,-3.27E+34,2330,
0.6764374969,-1.63E-04,2350,
0.6223910015,5.77E-05,2360,
0.6054924133,4.41E-04,2370,
0.8776268359,0.541292052,2380,
-1539.927688,10131.81023,2390,
-3.46E+08,-8.24E+10,2400,
-0.4343585278,0.003413427076,800,
-0.479563587,0.003499549016,810,
-0.4903775762,-0.01565366282,820,
3.763616421,20.22979098,830,
229105.8432,-45358.31816,840,
-3.21E+12,-3.10E+12,850,
-8.63E+16,5.60E+15,860,
-2.97E+24,1.93E+23,870,
-0.4343536592,0.003069659383,890,
-0.4795594454,0.003149342132,900,
-0.4894717459,0.002640804236,910,
5.735526955,-28.92769623,920,
-639574.834,28421.67735,930,
7.17E+13,-2.47E+13,940,
7.47E+17,-4.89E+16,950,
4.43E+25,-2.89E+24,960,
4.02E+25,8.09E+25,970,
-1.40E+26,-2.82E+26,980,
1.64E+24,3.31E+24,990,
-1.18E+28,-2.38E+28,1000,
-5.38E+35,-1.09E+36,1010,
-0.4343484496,0.00265448612,1030,
-0.4795445268,0.002700572245,1040,
-0.4837412104,0.02790375983,1050,
-95.31554366,-11.33050079,1060,
1849545.794,2014657.605,1070,
-8.33E+13,-1.19E+14,1080,
-1.14E+18,4.97E+15,1090,
-2.72E+25,1.19E+23,1100,
-0.43434607,0.002442484595,1120,
-0.4795616857,0.002473718402,1130,
-0.5037167379,0.002625180303,1140,
5.788404908,-0.8040062367,1150,
-5820.11419,2068.633323,1160,
-1.63E+10,1.91E+10,1170,
1.73E+17,-5.08E+17,1180,
-1.81E+12,5.32E+12,1190,
1.65E+22,-4.84E+22,1200,
1.10E+18,-3.22E+18,1210,
-2.47E+26,7.27E+26,1220,
-2.61E+25,7.67E+25,1230,
2.58E+27,-7.58E+27,1240,
1.26E+31,-3.71E+31,1250,
5.97E+29,-1.76E+30,1260,
-2.66E+32,7.82E+32,1270,
-2.64E+37,7.76E+37,1280,
-2.64E+37,7.76E+37,1290,
-4.02E+41,1.18E+42,1300,
-3.71E+41,1.09E+42,1310,
-2.04E+42,6.00E+42,1320,
4.18E+39,-1.23E+40,1330,
-9.97E+44,2.93E+45,1340,
-1.22E+50,3.57E+50,1350,
-1.22E+50,3.57E+50,1360,
-4.05E+54,1.19E+55,1370,
-0.4343414914,0.001971667876,1390,
-0.4795332465,0.001960174985,1400,
-0.4738697365,0.007654589351,1410,
35.43711042,-31.1656229,1420,
-1753530.961,2594557.747,1430,
8.35E+14,1.21E+15,1440,
-2.13E+19,-5.17E+19,1450,
-8.28E+25,-2.01E+26,1460,
-0.4343404877,0.00185301753,1480,
-0.4795398791,0.001839246702,1490,
-0.5007212305,-0.01191681617,1500,
17.77253505,0.0412693843,1510,
-30409.23696,-152008.282,1520,
3.63E+12,3.12E+12,1530,
-1.12E+18,8.18E+16,1540,
2.65E+23,-1.93E+22,1550,
-0.4343396479,0.001748084406,1570,
-0.4795375998,0.00172258653,1580,
-0.4922710433,6.07E-04,1590,
-0.3719953845,0.5448390377,1600,
682.9103507,350.9358679,1610,
-9.63E+08,-9.50E+07,1620,
-1.01E+18,-3.51E+17,1630,
-5.06E+11,-1.76E+11,1640,
2.00E+24,6.98E+23,1650,
3.30E+17,1.15E+17,1660,
-1.21E+31,-4.23E+30,1670,
-6.60E+26,-2.30E+26,1680,
2.23E+35,7.77E+34,1690,
-0.4343385939,0.001606913035,1710,
-0.4795372585,0.001565244815,1720,
-0.4921719331,-7.31E-04,1730,
-1.523717798,0.5612860881,1740,
-4759.221075,461.0571861,1750,
1.32E+11,-6.78E+10,1760,
7.64E+17,8.11E+17,1770,
-3.95E+16,-4.20E+16,1780,
1.40E+19,1.49E+19,1790,
8.78E+23,9.31E+23,1800,
-0.4343379234,0.001511330583,1820,
-0.4795245173,0.00145948179,1830,
-0.4955607815,0.02068451793,1840,
0.08573311694,-11.07057711,1850,
77128.68446,-28171.29459,1860,
-2.65E+12,5.32E+12,1870,
-1.24E+16,-2.08E+16,1880,
-1.04E+23,-1.75E+23,1890,
-2.11E+25,1.85E+24,1900,
2.40E+25,-2.10E+24,1910,
-1.47E+25,1.29E+24,1920,
-2.66E+25,2.34E+24,1930,
3.32E+24,-2.91E+23,1940,
-1.85E+26,1.63E+25,1950,
-2.89E+29,2.54E+28,1960,
-3.53E+26,3.10E+25,1970,
2.37E+32,-2.08E+31,1980,
-1.21E+36,1.06E+35,1990,
7.63E+34,-6.70E+33,2000,
-1.91E+37,1.68E+36,2010,
-6.01E+41,5.27E+40,2020,
-5.97E+41,5.24E+40,2030,
-5.68E+43,4.98E+42,2040,
1.38E+36,-1.21E+35,2050,
-2.33E+51,2.05E+50,2060,
-7.36E+49,6.45E+48,2070,
7.39E+52,-6.48E+51,2080,
3.72E+58,-3.27E+57,2090,
-0.4343366237,0.001307502749,2110,
-0.4795333981,0.001226110397,2120,
-0.4922129796,-0.003291078515,2130,
-0.7729046573,-1.288795098,2140,
-4755.244274,-21234.80775,2150,
2.48E+11,-1.76E+12,2160,
1.92E+16,-5.03E+16,2170,
3.49E+23,-9.12E+23,2180,
-0.4343363149,0.001255282827,2200,
-0.4795353556,0.001161640718,2210,
-0.490187656,7.68E-04,2220,
4.872982566,4.91518624,2230,
37771.05744,33718.06369,2240,
-3.74E+10,2.36E+10,2250,
-2.96E+18,4.95E+17,2260,
4.57E+13,-7.65E+12,2270,
-1.91E+23,3.20E+22,2280,
-1.13E+20,1.90E+19,2290,
3.23E+26,-5.40E+25,2300,
-8.98E+28,1.50E+28,2310,
1.16E+23,-1.93E+22,2320,
-6.97E+34,1.17E+34,2330,
-0.4343358745,0.001177242788,2350,
-0.4795320175,0.001072540614,2360,
-0.4936803251,0.001358067913,2370,
-0.200845752,0.5064835389,2380,
-848.6497938,8189.54217,2390,
-3.08E+09,-6.20E+10,2400,