Frequency(HZ),S-Parameter(dB)
8.00E+11,-7.242764693
8.10E+11,-6.382552667
8.20E+11,-6.257469274
8.30E+11,44.0087166
8.40E+11,161.0394652
8.50E+11,323.9027752
8.60E+11,217.8930328
8.70E+11,468.8413689
8.80E+11,327.0814799
8.90E+11,610.6012579
9.10E+11,-7.242940989
9.20E+11,-6.382689576
9.30E+11,-6.154926431
9.40E+11,1.230931925
9.50E+11,67.70619564
9.60E+11,225.0783942
9.70E+11,364.2164504
9.80E+11,314.00726
9.90E+11,414.3987441
1.00E+12,545.07208
1.01E+12,545.07208
1.02E+12,660.0016
1.03E+12,660.0015996
1.04E+12,799.985585
1.06E+12,-7.243100419
1.07E+12,-6.383249331
1.08E+12,-6.230675594
1.09E+12,35.30782935
1.10E+12,138.7178282
1.11E+12,319.6292119
1.12E+12,342.7532349
1.13E+12,383.0008508
1.14E+12,234.9780822
1.15E+12,531.0236193
1.16E+12,474.4453431
1.17E+12,587.6018763
1.18E+12,679.1089392
1.19E+12,679.0864491
1.20E+12,724.7795699
1.21E+12,586.5531257
1.22E+12,863.0060142
1.23E+12,784.678763
1.24E+12,941.3332652
1.25E+12,948.1943003
1.26E+12,924.101579
1.27E+12,971.708632
1.28E+12,1060.902216
1.29E+12,1060.800471
1.30E+12,1093.299084
1.31E+12,969.3112658
1.32E+12,1217.286896
1.33E+12,1084.526803
1.34E+12,1350.04699
1.36E+12,-7.243272736
1.37E+12,-6.383434996
1.38E+12,-5.500959473
1.39E+12,33.29117541
1.40E+12,120.2609447
1.41E+12,285.9374257
1.42E+12,354.9192134
1.43E+12,486.8719286
1.44E+12,486.9692179
1.45E+12,590.856011
1.46E+12,590.8559564
1.47E+12,688.8599343
1.48E+12,688.8587449
1.49E+12,760.1066476
1.50E+12,724.9856569
1.51E+12,795.2249659
1.52E+12,929.5589213
1.54E+12,-7.24332446
1.55E+12,-6.383511305
1.56E+12,-6.162560375
1.57E+12,10.31525029
1.58E+12,70.86395879
1.59E+12,205.1424516
1.60E+12,353.4797618
1.61E+12,259.5596447
1.62E+12,447.399704
1.64E+12,-7.243357113
1.65E+12,-6.383494943
1.66E+12,-5.98903244
1.67E+12,35.03692612
1.68E+12,135.5659417
1.69E+12,310.6429683
1.70E+12,363.6281288
1.71E+12,463.5778582
1.73E+12,-7.243376041
1.74E+12,-6.383602555
1.75E+12,-6.074066324
1.76E+12,26.1433016
1.77E+12,116.503955
1.78E+12,277.0069122
1.79E+12,387.5625528
1.80E+12,488.327006
1.82E+12,-7.243392302
1.83E+12,-6.383175085
1.84E+12,-6.235250579
1.85E+12,27.41822852
1.86E+12,113.6839006
1.87E+12,261.0087259
1.88E+12,308.7692662
1.89E+12,398.2701644
1.90E+12,464.8251078
1.91E+12,635.2273345
1.92E+12,635.2273345
1.93E+12,592.9918513
1.94E+12,677.3951455
1.95E+12,831.869231
1.96E+12,831.869231
1.97E+12,845.0108203
1.98E+12,797.6871396
1.99E+12,892.2969603
2.00E+12,1014.821547
2.02E+12,-7.243421111
2.03E+12,-6.383664813
2.04E+12,-6.117475705
2.05E+12,4.513238127
2.06E+12,105.8988294
2.07E+12,278.158691
2.08E+12,376.7874656
2.09E+12,503.6152643
2.10E+12,503.6152643
2.11E+12,625.3932447
2.12E+12,625.3932447
2.13E+12,770.0818263
2.14E+12,770.0818263
2.15E+12,838.9343755
2.16E+12,795.6296548
2.17E+12,882.2386902
2.18E+12,1035.077993
2.19E+12,1035.077993
2.20E+12,1059.100517
2.21E+12,968.9626934
2.22E+12,1149.238071
2.23E+12,1108.467049
2.24E+12,1190.087853
2.25E+12,1340.905844
2.26E+12,1340.905844
2.27E+12,1369.59345
2.28E+12,1260.839911
2.29E+12,1478.346957
2.31E+12,-7.24345076
2.32E+12,-6.383613435
2.33E+12,-6.176455242
2.34E+12,13.52721807
2.35E+12,84.08210124
2.36E+12,206.7104905
2.37E+12,357.7976252
2.38E+12,250.7724915
2.39E+12,464.8227203
2.40E+12,353.9787049
8.00E+11,-3.395654629
8.10E+11,-4.119379081
8.20E+11,-4.085352478
8.30E+11,45.63457305
8.40E+11,161.7395657
8.50E+11,324.4292
8.60E+11,218.4194576
8.70E+11,467.4221333
8.80E+11,325.6622444
8.90E+11,609.1820224
9.10E+11,-3.395601625
9.20E+11,-4.119315776
9.30E+11,-4.321575764
9.40E+11,-13.53640983
9.50E+11,69.68093834
9.60E+11,226.3015676
9.70E+11,366.7325232
9.80E+11,316.5233329
9.90E+11,416.9148169
1.00E+12,547.5881529
1.01E+12,547.5881529
1.02E+12,662.5176728
1.03E+12,662.5176724
1.04E+12,802.5016577
1.06E+12,-3.395552936
1.07E+12,-4.11888691
1.08E+12,-4.241722602
1.09E+12,37.1305795
1.10E+12,140.3463324
1.11E+12,321.1991415
1.12E+12,387.9858459
1.13E+12,428.2334618
1.14E+12,280.2106932
1.15E+12,576.2562303
1.16E+12,519.6779541
1.17E+12,632.8344873
1.18E+12,724.3415503
1.19E+12,724.3190602
1.20E+12,770.012181
1.21E+12,631.7857367
1.22E+12,908.2386253
1.23E+12,829.9113741
1.24E+12,986.5658763
1.25E+12,993.4269114
1.26E+12,969.33419
1.27E+12,1016.941243
1.28E+12,1106.134827
1.29E+12,1106.033082
1.30E+12,1138.531695
1.31E+12,1014.543877
1.32E+12,1262.519507
1.33E+12,1129.759414
1.34E+12,1395.279601
1.36E+12,-3.395501807
1.37E+12,-4.118815821
1.38E+12,-5.007481225
1.39E+12,34.98052688
1.40E+12,122.1641436
1.41E+12,287.3672433
1.42E+12,375.3064079
1.43E+12,507.2591231
1.44E+12,506.0365485
1.45E+12,609.9233416
1.46E+12,609.923287
1.47E+12,707.9272649
1.48E+12,707.9260755
1.49E+12,779.1739782
1.50E+12,744.0529875
1.51E+12,814.2922964
1.52E+12,948.6262519
1.54E+12,-3.395489831
1.55E+12,-4.118777969
1.56E+12,-4.327347722
1.57E+12,9.783044662
1.58E+12,72.19607579
1.59E+12,206.9996382
1.60E+12,370.7182915
1.61E+12,276.7981744
1.62E+12,464.6382337
1.64E+12,-3.395476279
1.65E+12,-4.118799554
1.66E+12,-4.493279364
1.67E+12,36.58665741
1.68E+12,135.7134295
1.69E+12,312.0358771
1.70E+12,378.0869537
1.71E+12,478.0366831
1.73E+12,-3.395470506
1.74E+12,-4.118718657
1.75E+12,-4.423882181
1.76E+12,27.93771347
1.77E+12,118.5145544
1.78E+12,278.1778216
1.79E+12,389.1355245
1.80E+12,489.8999776
1.82E+12,-3.395465529
1.83E+12,-4.119117714
1.84E+12,-4.2568469
1.85E+12,28.97409388
1.86E+12,115.2605573
1.87E+12,263.3552227
1.88E+12,310.2473271
1.89E+12,399.7482253
1.90E+12,496.4890099
1.91E+12,666.891237
1.92E+12,666.891237
1.93E+12,624.6557539
1.94E+12,709.0590481
1.95E+12,863.5331333
1.96E+12,863.5331333
1.97E+12,876.6747226
1.98E+12,829.3510419
1.99E+12,923.9608626
2.00E+12,1046.485449
2.02E+12,-3.39545664
2.03E+12,-4.118681242
2.04E+12,-4.375296866
2.05E+12,-0.975926731
2.06E+12,107.5039407
2.07E+12,279.6886023
2.08E+12,407.1646925
2.09E+12,533.9924911
2.10E+12,533.9924911
2.11E+12,655.7704716
2.12E+12,655.7704716
2.13E+12,800.459053
2.14E+12,800.459053
2.15E+12,869.3116022
2.16E+12,826.0068816
2.17E+12,912.6159169
2.18E+12,1065.455221
2.19E+12,1065.455221
2.20E+12,1089.477744
2.21E+12,999.3399205
2.22E+12,1179.615298
2.23E+12,1138.844276
2.24E+12,1220.46508
2.25E+12,1371.283072
2.26E+12,1371.283072
2.27E+12,1399.970677
2.28E+12,1291.217138
2.29E+12,1508.724185
2.31E+12,-3.395447328
2.32E+12,-4.118743064
2.33E+12,-4.314760796
2.34E+12,13.81533027
2.35E+12,85.57526451
2.36E+12,208.2240908
2.37E+12,372.5007933
2.38E+12,265.4756596
2.39E+12,479.5258884
2.40E+12,368.6818729